T,Px,Py,Pz,Vx,Vy,Vz,Roll,Pitch,Yaw,R_rate,P_rate,Y_rate,T,M1,M2,M3,Wb1,Wb2,Wb3
0.366295099,-0.037187362,-0.040589213,0.212883891,0.003253879,0.001250572,0.00704412,-0.710787293,-0.071784024,0.808713978,0,0,0,0,0,0,0,0,0,0
0.37677145,-0.037311083,-0.040690565,0.213617602,-0.000659056,0.00250442,0.005814164,-0.716292115,-0.074406081,0.812994442,0,0,0,0,0,0,0,0,0,0
0.387203455,-0.037008476,-0.040294172,0.211752819,-0.003034481,0.003051927,0.004388878,-0.713441717,-0.076333069,0.807653159,0,0,0,0,0,0,0,0,0,0
0.397548199,-0.03648278,-0.039642561,0.208534064,-0.00410594,0.003119291,0.003085771,-0.705871547,-0.077610125,0.79711329,0,0,0,0,0,0,0,0,0,0
0.408018827,-0.037360841,-0.040513058,0.213305221,-0.004567102,0.003054669,0.002208966,-0.72505011,-0.081623827,0.816993596,0,0,0,0,0,0,0,0,0,0
0.418440819,-0.037126426,-0.040179041,0.21171504,-0.004506866,0.002786505,0.001458446,-0.722219978,-0.082913515,0.812332164,0,0,0,0,0,0,0,0,0,0
0.429333448,-0.040202076,-0.043431696,0.229003741,-0.0044087,0.002571156,0.000919714,-0.783397236,-0.091300633,0.879906035,0,0,0,0,0,0,0,0,0,0
0.439692497,-0.036641023,-0.039526543,0.208433393,-0.004259047,0.001040074,-0.003369231,-0.7133445,-0.083072967,0.801285,0,0,0,0,0,0,0,0,0,0
0.450130463,-0.037094404,-0.039965431,0.210611907,-0.005103897,-0.000645082,-0.009621563,-0.718907165,-0.081884012,0.8092061,0,0,0,0,0,0,0,0,0,0
0.460847616,-0.038885623,-0.04185151,0.220358482,-0.005038714,-0.001203546,-0.012263665,-0.7488373,-0.082404343,0.845587124,0,0,0,0,0,0,0,0,0,0
0.471426249,-0.037901813,-0.040787416,0.214553197,-0.002061524,-0.001666987,-0.010662607,-0.724731208,-0.076356102,0.821596391,0,0,0,0,0,0,0,0,0,0
0.482086897,-0.038253435,-0.041247776,0.216747289,0.004244747,-0.003147602,-0.005093904,-0.727730665,-0.073643386,0.827820596,0,0,0,0,0,0,0,0,0,0
0.492779016,-0.038199948,-0.041353545,0.217089696,0.01031114,-0.004286067,0.002332777,-0.725685088,-0.071667972,0.827022004,0,0,0,0,0,0,0,0,0,0
0.503284693,-0.036741338,-0.039968352,0.209640831,0.012724767,-0.004429841,0.006617123,-0.698712677,-0.068216138,0.796823655,0,0,0,0,0,0,0,0,0,0
0.514021635,-0.037960847,-0.041501381,0.217537329,0.013828981,-0.004302271,0.009093851,-0.723755664,-0.070524123,0.825261747,0,0,0,0,0,0,0,0,0,0
0.524667025,-0.037168105,-0.040792488,0.213757814,0.01092884,-0.002839029,0.009011624,-0.711073293,-0.069856665,0.810062416,0,0,0,0,0,0,0,0,0,0
0.535437107,-0.037804051,-0.04154554,0.217684058,0.003780562,-0.001004874,0.003593393,-0.724485402,-0.071624671,0.824814381,0,0,0,0,0,0,0,0,0,0
0.546043396,-0.036686086,-0.040327603,0.210982856,-0.001375996,-0.002558555,-0.016322452,-0.701890961,-0.067853579,0.799570212,0,0,0,0,0,0,0,0,0,0
0.556491375,-0.035648378,-0.039288352,0.204601091,0.001470322,-0.00805804,-0.046297767,-0.680914883,-0.062116772,0.775937849,0,0,0,0,0,0,0,0,0,0
0.566906929,-0.035474559,-0.039251517,0.203227065,0.004050409,-0.010201481,-0.057407264,-0.678077739,-0.058090272,0.771902393,0,0,0,0,0,0,0,0,0,0
0.577600241,-0.037287321,-0.041389964,0.213297477,0.00358173,-0.008478641,-0.049140664,-0.714423409,-0.058737139,0.811702917,0,0,0,0,0,0,0,0,0,0
0.587981224,-0.035431396,-0.039432493,0.202489995,0.002992938,-0.005969488,-0.034745424,-0.681169453,-0.05484503,0.772077838,0,0,0,0,0,0,0,0,0,0
0.598357201,-0.035529979,-0.039609659,0.202897477,0.001679355,-0.003767153,-0.024485037,-0.685473976,-0.054850069,0.775104116,0,0,0,0,0,0,0,0,0,0
0.608842373,-0.036366281,-0.040632688,0.207535282,0.002671965,-0.004808665,-0.028834673,-0.703701164,-0.055366433,0.794125764,0,0,0,0,0,0,0,0,0,0
0.619370222,-0.036759368,-0.041172494,0.209676255,0.003326578,-0.005155266,-0.029399127,-0.713030544,-0.054836234,0.803371392,0,0,0,0,0,0,0,0,0,0
0.630100489,-0.038113827,-0.04269862,0.217405553,0.000379965,0.000140291,-0.00286241,-0.740695188,-0.057523355,0.833608256,0,0,0,0,0,0,0,0,0,0
0.640417337,-0.035520168,-0.039743022,0.202873087,-0.000467547,0.004696943,0.026180746,-0.691119232,-0.055787897,0.77757763,0,0,0,0,0,0,0,0,0,0
0.650768757,-0.035773994,-0.03996749,0.204821967,0.00055947,0.006704048,0.042585793,-0.696482064,-0.058967801,0.783947529,0,0,0,0,0,0,0,0,0,0
0.661621332,-0.038992183,-0.043487132,0.223864984,0.000744295,0.008463103,0.053015496,-0.759278405,-0.067470909,0.855304802,0,0,0,0,0,0,0,0,0,0
0.672023296,-0.036077564,-0.040165943,0.207691407,0.000644082,0.007758146,0.048583719,-0.702437677,-0.065223403,0.792031442,0,0,0,0,0,0,0,0,0,0
0.682370186,-0.035694778,-0.03968526,0.206020764,0.000981895,0.006468765,0.044024947,-0.694783193,-0.066946374,0.784206571,0,0,0,0,0,0,0,0,0,0
0.692825556,-0.036403138,-0.040436442,0.210607385,0.00134499,0.005043627,0.038697908,-0.708315519,-0.070285038,0.800281507,0,0,0,0,0,0,0,0,0,0
0.703195333,-0.03592358,-0.039886427,0.208284378,0.00186057,0.003737913,0.031606747,-0.698842755,-0.070868041,0.790288872,0,0,0,0,0,0,0,0,0,0
0.713975191,-0.038531472,-0.042789648,0.223929344,0.003421222,0.003055128,0.029876272,-0.749797903,-0.076952681,0.848529796,0,0,0,0,0,0,0,0,0,0
0.724361897,-0.035983502,-0.03995706,0.209517382,0.002209294,0.002766586,0.024482169,-0.700716068,-0.07233868,0.79320874,0,0,0,0,0,0,0,0,0,0
0.734710455,-0.035762044,-0.039636343,0.208203799,-0.003294155,0.003601343,0.015704124,-0.696896095,-0.072744661,0.78852125,0,0,0,0,0,0,0,0,0,0
0.745495081,-0.038616846,-0.042643819,0.22433338,-0.009455035,0.004717153,0.006309177,-0.752926025,-0.080084006,0.851003969,0,0,0,0,0,0,0,0,0,0
0.755990267,-0.036822625,-0.040482207,0.213213181,-0.011616561,0.004642422,-0.000874006,-0.718221074,-0.078050094,0.810676906,0,0,0,0,0,0,0,0,0,0
0.766663313,-0.037972809,-0.041556949,0.219069351,-0.01256671,0.004478664,-0.005339391,-0.740834155,-0.082201803,0.835024308,0,0,0,0,0,0,0,0,0,0
0.777194738,-0.03707609,-0.040405883,0.213135539,-0.011450289,0.003750267,-0.007374791,-0.723418907,-0.08174759,0.814337001,0,0,0,0,0,0,0,0,0,0
0.787728548,-0.037104754,-0.040297534,0.21258729,-0.010072172,0.002332636,-0.010427558,-0.722651627,-0.081998117,0.813433955,0,0,0,0,0,0,0,0,0,0
0.798252583,-0.037083941,-0.040168659,0.211802838,-0.008624378,0.0007086,-0.013952586,-0.718834274,-0.080279232,0.810577981,0,0,0,0,0,0,0,0,0,0
0.808697939,-0.036653753,-0.039618811,0.208797279,-0.006933862,0.000405926,-0.012433783,-0.707486275,-0.077776179,0.799104646,0,0,0,0,0,0,0,0,0,0
0.819164276,-0.036885319,-0.039800519,0.209714614,-0.005253673,0.000778962,-0.008064737,-0.710770697,-0.07794295,0.803087885,0,0,0,0,0,0,0,0,0,0
0.829621077,-0.036920255,-0.03981587,0.209760263,-0.001811321,0.000105069,-0.004010086,-0.711424249,-0.078231929,0.803624808,0,0,0,0,0,0,0,0,0,0
0.839941978,-0.036123941,-0.039020135,0.205470935,0.004007256,-0.001764967,-6.37E-05,-0.696618826,-0.076576978,0.786818588,0,0,0,0,0,0,0,0,0,0
0.850358725,-0.036780886,-0.039868476,0.20977932,0.009160907,-0.003458715,0.002939536,-0.71008515,-0.077666226,0.802209754,0,0,0,0,0,0,0,0,0,0
0.861252069,-0.039821391,-0.043351952,0.2279128,0.012583224,-0.004527844,0.004890634,-0.769734777,-0.08355289,0.869964399,0,0,0,0,0,0,0,0,0,0
0.87157917,-0.036030474,-0.039382542,0.206843698,0.010235125,-0.004081596,0.002070588,-0.696077236,-0.074227541,0.787782331,0,0,0,0,0,0,0,0,0,0
0.881984234,-0.036444288,-0.039923589,0.209497496,0.005078525,-0.002849803,-0.003027969,-0.70179218,-0.072697789,0.796168223,0,0,0,0,0,0,0,0,0,0
0.892395258,-0.036527325,-0.040016634,0.209913066,-0.000536119,-0.000531776,-0.004089346,-0.70148519,-0.07135983,0.797049521,0,0,0,0,0,0,0,0,0,0
0.902750492,-0.036288522,-0.039697592,0.20829919,-0.003953446,0.001487369,-0.001963451,-0.696690385,-0.071110358,0.791436318,0,0,0,0,0,0,0,0,0,0
0.913166046,-0.036826162,-0.040193667,0.211044349,-0.005892621,0.002727335,-0.000525292,-0.707905182,-0.073461816,0.803130041,0,0,0,0,0,0,0,0,0,0
0.923489571,-0.03641121,-0.03963525,0.208292813,-0.006610538,0.003247543,0.000446767,-0.701413477,-0.074480215,0.794270866,0,0,0,0,0,0,0,0,0,0
0.933832407,-0.036715799,-0.039860661,0.20966819,-0.006612575,0.003307739,0.001123318,-0.709009193,-0.077148119,0.80121338,0,0,0,0,0,0,0,0,0,0
0.944899321,-0.041557652,-0.045014425,0.236912916,-0.006893578,0.002802137,-0.000968737,-0.802961828,-0.088375417,0.906549728,0,0,0,0,0,0,0,0,0,0
0.955181599,-0.036316971,-0.039270972,0.206687393,-0.005229553,0.001142851,-0.004197477,-0.699916223,-0.076336396,0.790985461,0,0,0,0,0,0,0,0,0,0
0.965714455,-0.037819943,-0.0408427,0.214945138,-0.004267446,0.000849374,-0.003439543,-0.727081559,-0.078510795,0.822541934,0,0,0,0,0,0,0,0,0,0
0.976434231,-0.038854791,-0.042035862,0.221099876,0.004861448,-0.00141794,-0.00134996,-0.746729621,-0.079827857,0.845461557,0,0,0,0,0,0,0,0,0,0
0.986863852,-0.036652353,-0.039914761,0.209609005,0.01726098,-0.00511617,-0.001207132,-0.705146288,-0.073730639,0.799623084,0,0,0,0,0,0,0,0,0,0
