T,input Acc,input Wb1,input Wb2,input Wb3,Px,Py,Pz,Vx,Vy,Vz,Roll,Pitch,Yaw,R_rate,P_rate,Y_rate,Wb1,Wb2,Wb3
0,11.8004,6.609666402,6.099264727,-5.506212096,0,0,0.4,0,0,0.4,0,0,0,0,0,0,0,0,0
0.0001297,11.7788928,0.164085546,0.023251007,-0.180697117,0,0,0.4,0.000756008,0.000841225,0.39562745,-7.87E-05,8.17E-05,0,0,0,0,0,0,0
0.01108861,11.70248702,0.77282978,0.155935095,-0.875465327,0,0,0.4,0.003629171,0.004651035,0.377259854,-0.00043668,0.000506777,0,0,0,0,0,0,0
0.021525621,11.59872897,1.567511627,0.454653128,-1.776793006,0,0,0.4,0.006639651,0.010377754,0.35258677,-0.000901066,0.001066003,0,0,0,0,0,0,0
0.031961203,11.43907975,2.552046589,1.045437908,-2.835964,0,0,0.4,0.008873994,0.018315259,0.321671031,-0.001450271,0.001576669,0,0,0,0,0,0,0
0.042384863,11.26465988,3.523921013,1.876380154,-3.777965684,0,0,0.4,0.009252682,0.026803696,0.290774741,-0.002033411,0.001978333,0,0,0,0,0,0,0
0.052775621,11.11837321,4.362175911,2.784927137,-4.488263564,0,0,0.4,0.007963967,0.034636559,0.263044345,-0.002869019,0.002407012,0,0,0,0,0,0,0
0.063248873,10.98606223,5.126114413,3.755008286,-5.035555423,0,0,0.4,0.005304682,0.042117068,0.236444296,-0.003831515,0.002956388,0,0,0,0,0,0,0
0.073583126,10.90336275,5.568409179,4.370901866,-5.292530367,0,0,0.4,0.003101725,0.046385871,0.220887687,-0.004060285,0.003232963,0,0,0,0,0,0,0
0.083969116,10.81099078,6.057687058,5.108956582,-5.504659343,0,0,0.4,0.000143082,0.050824199,0.20412536,-0.004036805,0.003439817,0,0,0,0,0,0,0
0.094774723,10.67550232,6.7996063,6.33580288,-5.689209609,0,0,0.4,-0.005550447,0.057261262,0.178180484,-0.004289891,0.003813354,0,0,0,0,0,0,0
0.105347157,10.68517403,6.774161342,6.297139048,-5.666368666,0,0,0.4,-0.005154789,0.05676027,0.180133133,-0.004081636,0.003719465,0,0,0,0,0,0,0
0.115962505,10.66189032,6.935589927,6.585455841,-5.6670022,0,0,0.4,-0.006425987,0.057870879,0.175263981,-0.004088572,0.003776372,0,0,0,0,0,0,0
0.126465559,10.69304318,6.872938867,6.469586313,-5.654838741,0,0,0.4,-0.005687837,0.057095709,0.178482811,-0.004028281,0.00378152,0,0,0,0,0,0,0
0.136884689,10.73222277,6.799370653,6.315082503,-5.660673865,0,0,0.4,-0.004884661,0.056301114,0.181858539,-0.004014648,0.003826989,0,0,0,0,0,0,0
0.14752984,10.69478658,7.028036252,6.687159432,-5.703509868,0,0,0.4,-0.006773312,0.058122878,0.174166692,-0.004163905,0.003973847,0,0,0,0,0,0,0
0.157918215,10.75388055,6.74383927,6.164104764,-5.683157798,0,0,0.4,-0.004104788,0.055524401,0.185210025,-0.003920161,0.003865656,0,0,0,0,0,0,0
0.168299675,10.77839465,6.7126855,6.071283267,-5.706831129,0,0,0.4,-0.003726249,0.055190297,0.186754326,-0.004053354,0.003937198,0,0,0,0,0,0,0
0.179036617,10.70274059,7.050481686,6.613623301,-5.793724377,0,0,0.4,-0.006611144,0.058087033,0.174662758,-0.004808145,0.003949291,0,0,0,0,0,0,0
0.189361811,10.75045078,6.5956506,5.809638125,-5.733840226,0,0,0.4,-0.002748179,0.054067726,0.191165983,-0.004903479,0.003284893,0,0,0,0,0,0,0
0.199732304,10.72608742,6.62390254,5.835912157,-5.752648976,0,0,0.4,-0.002986651,0.054216425,0.190265947,-0.005124338,0.003109241,0,0,0,0,0,0,0
0.210172176,10.71939299,6.692827361,5.924770381,-5.78176858,0,0,0.4,-0.003519501,0.054713126,0.1879831,-0.005068084,0.003206492,0,0,0,0,0,0,0
0.220525503,10.75824362,6.614304959,5.759055944,-5.777545309,0,0,0.4,-0.002804462,0.053908633,0.191166856,-0.00450196,0.003432468,0,0,0,0,0,0,0
0.230881453,10.77816034,6.636627602,5.761527585,-5.798791516,0,0,0.4,-0.002836963,0.054001488,0.190884978,-0.003995781,0.003758921,0,0,0,0,0,0,0
0.241111279,10.81417665,6.536651476,5.569212882,-5.783605036,0,0,0.4,-0.001919591,0.053025386,0.195014488,-0.003636678,0.003919553,0,0,0,0,0,0,0
0.251413345,10.7968294,6.635777241,5.708790258,-5.830935297,0,0,0.4,-0.002581143,0.053926135,0.191656784,-0.003817398,0.004038296,0,0,0,0,0,0,0
0.262007475,10.72942837,6.944391248,6.206151258,-5.92895305,0,0,0.4,-0.005084975,0.056772327,0.180228187,-0.004396282,0.004207926,0,0,0,0,0,0,0
0.272303343,10.78388699,6.641052247,5.683796698,-5.870133089,0,0,0.4,-0.002542287,0.054180286,0.191058969,-0.004070647,0.004017929,0,0,0,0,0,0,0
0.282740116,10.76787831,6.797156953,5.913148216,-5.928733965,0,0,0.4,-0.003639542,0.055529887,0.18584663,-0.003855769,0.004146164,0,0,0,0,0,0,0
0.293133259,10.76095399,6.766643404,5.847653721,-5.928116407,0,0,0.4,-0.003269143,0.055156667,0.18746085,-0.003907151,0.00389714,0,0,0,0,0,0,0
0.30345273,10.74589578,6.713191018,5.762453707,-5.902909201,0,0,0.4,-0.002723428,0.054469625,0.190137416,-0.003923863,0.003578288,0,0,0,0,0,0,0
0.313995123,10.6865011,6.972425089,6.209531859,-5.940651215,0,0,0.4,-0.004674409,0.056454887,0.181861327,-0.003897218,0.003619905,0,0,0,0,0,0,0
0.324401379,10.71404999,6.855860289,6.027949078,-5.891734306,0,0,0.4,-0.003533752,0.05513924,0.187097071,-0.003657822,0.003568722,0,0,0,0,0,0,0
0.334840536,10.71915532,6.899156001,6.100546405,-5.898195965,0,0,0.4,-0.003766516,0.055330333,0.186185529,-0.003852242,0.003581751,0,0,0,0,0,0,0
0.345369577,10.69752604,6.992227543,6.252845825,-5.922378297,0,0,0.4,-0.004480367,0.056003818,0.183198298,-0.004348684,0.003467306,0,0,0,0,0,0,0
0.355848074,10.69860452,6.941280813,6.163684478,-5.909478894,0,0,0.4,-0.003993844,0.055372864,0.185513265,-0.004509063,0.003316919,0,0,0,0,0,0,0
0.366295099,10.70843287,6.918444026,6.127328462,-5.890072298,0,0,0.4,-0.003686987,0.054925315,0.187116109,-0.004207964,0.003403613,0,0,0,0,0,0,0
0.37677145,10.71109466,6.965057448,6.216998172,-5.876902657,0,0,0.4,-0.003910637,0.055068556,0.186382398,-0.003849051,0.003594499,0,0,0,0,0,0,0
0.387203455,10.72772886,6.939991936,6.188965,-5.848244212,0,0,0.4,-0.003539148,0.054595989,0.188247181,-0.003599177,0.003690037,0,0,0,0,0,0,0
0.397548199,10.75052655,6.876230429,6.09466584,-5.81391093,0,0,0.4,-0.002864746,0.053798877,0.191465936,-0.003452573,0.003712055,0,0,0,0,0,0,0
0.408018827,10.73123928,7.031049351,6.374936351,-5.822891475,0,0,0.4,-0.003967359,0.054967266,0.186694779,-0.003509256,0.003825951,0,0,0,0,0,0,0
0.418440819,10.74312961,7.009002857,6.346083036,-5.804844785,0,0,0.4,-0.003629863,0.054585263,0.18828496,-0.003499096,0.003820358,0,0,0,0,0,0,0
0.429333448,10.65954984,7.498458998,7.23162654,-5.825120729,0,0,0.4,-0.007854187,0.058658596,0.170996259,-0.00383956,0.004102987,0,0,0,0,0,0,0
0.439692497,10.78404124,6.954992502,6.243102035,-5.792751644,0,0,0.4,-0.00289572,0.053819393,0.191566607,-0.003574381,0.003885737,0,0,0,0,0,0,0
0.450130463,10.80460934,7.026545054,6.329756072,-5.832303757,0,0,0.4,-0.003326708,0.054425762,0.189388093,-0.003671669,0.004108334,0,0,0,0,0,0,0
